iter	Passed	Remaining
408	4476	4279
409	4486	4268
410	4498	4257
411	4509	4246
412	4520	4235
413	4531	4224
414	4542	4214
415	4554	4203
416	4565	4193
417	4576	4181
418	4587	4171
419	4598	4160
420	4609	4149
421	4620	4138
422	4631	4127
423	4642	4116
424	4653	4106
425	4664	4095
426	4675	4084
427	4687	4073
428	4698	4062
429	4709	4052
430	4719	4040
431	4731	4030
432	4742	4019
433	4753	4008
434	4764	3998
435	4775	3987
436	4787	3976
437	4798	3965
438	4809	3955
439	4820	3944
440	4831	3933
441	4843	3922
442	4854	3912
443	4866	3901
444	4877	3890
445	4888	3879
446	4899	3869
447	4910	3858
448	4921	3847
449	4932	3836
450	4943	3825
451	4954	3814
452	4965	3803
453	4977	3793
454	4988	3782
455	4999	3771
456	5010	3760
457	5021	3749
458	5032	3739
459	5044	3728
460	5055	3717
461	5066	3706
462	5078	3696
463	5089	3685
464	5100	3674
465	5111	3663
466	5122	3652
467	5133	3641
468	5144	3630
469	5155	3620
470	5167	3609
471	5178	3598
472	5189	3587
473	5201	3577
474	5212	3566
475	5223	3555
476	5234	3544
477	5245	3533
478	5255	3522
479	5266	3511
480	5276	3499
481	5287	3488
482	5298	3477
483	5308	3466
484	5319	3454
485	5329	3443
486	5340	3432
487	5350	3420
488	5360	3409
489	5371	3398
490	5381	3386
491	5392	3375
492	5402	3364
493	5413	3353
494	5423	3341
495	5434	3330
496	5444	3319
497	5455	3308
498	5466	3297
499	5477	3286
500	5488	3275
501	5499	3264
502	5509	3253
503	5520	3242
504	5531	3231
505	5542	3220
506	5554	3209
507	5566	3199
508	5578	3189
509	5589	3178
510	5602	3168
511	5614	3158
512	5625	3147
513	5637	3136
514	5647	3125
515	5658	3114
516	5669	3103
517	5679	3092
518	5689	3080
519	5700	3069
520	5711	3058
521	5722	3047
522	5733	3036
523	5744	3025
524	5755	3014
525	5766	3003
526	5776	2992
527	5786	2981
528	5797	2969
529	5808	2958
530	5818	2947
531	5829	2936
532	5839	2925
533	5850	2914
534	5860	2903
535	5871	2891
536	5881	2880
537	5891	2869
538	5902	2858
539	5912	2846
540	5923	2835
541	5933	2824
542	5944	2813
543	5954	2802
544	5965	2791
545	5976	2780
546	5986	2768
547	5996	2757
548	6007	2746
549	6018	2735
550	6030	2725
551	6041	2714
552	6051	2703
553	6062	2691
554	6072	2680
555	6083	2669
556	6094	2658
557	6104	2647
558	6115	2636
559	6125	2625
560	6136	2614
561	6147	2603
562	6157	2592
563	6168	2581
564	6179	2570
565	6189	2558
566	6200	2547
567	6211	2537
568	6221	2525
569	6232	2514
570	6242	2503
571	6253	2492
572	6263	2481
573	6274	2470
574	6285	2459
575	6295	2448
576	6306	2437
577	6316	2426
578	6326	2414
579	6337	2403
580	6348	2392
581	6359	2382
582	6369	2370
583	6380	2359
584	6391	2348
585	6401	2337
586	6412	2326
587	6423	2315
588	6434	2304
589	6444	2293
590	6455	2283
591	6466	2272
592	6477	2261
593	6488	2250
594	6500	2239
595	6511	2228
596	6522	2217
597	6533	2207
598	6544	2196
599	6554	2184
600	6565	2173
601	6575	2162
602	6585	2151
603	6596	2140
604	6607	2129
605	6617	2118
606	6628	2107
607	6639	2096
608	6649	2085
609	6660	2074
610	6670	2063
611	6681	2052
612	6691	2041
613	6702	2030
614	6713	2019
615	6723	2008
616	6734	1997
617	6744	1986
618	6754	1975
619	6765	1964
620	6776	1953
621	6786	1942
622	6797	1931
623	6807	1920
624	6818	1909
625	6828	1898
626	6839	1887
627	6850	1876
628	6860	1865
629	6871	1854
630	6881	1843
631	6892	1832
632	6903	1821
633	6914	1810
634	6924	1799
635	6935	1788
636	6945	1777
637	6956	1766
638	6966	1755
639	6977	1744
640	6987	1733
641	6998	1722
642	7008	1711
643	7019	1700
644	7030	1689
645	7041	1678
646	7052	1667
647	7062	1656
648	7073	1645
649	7083	1634
650	7094	1623
651	7104	1612
652	7114	1601
653	7125	1590
654	7136	1579
655	7146	1568
656	7157	1557
657	7168	1546
658	7179	1536
659	7190	1525
660	7200	1514
661	7211	1503
662	7221	1492
663	7232	1481
664	7242	1470
665	7253	1459
666	7263	1448
667	7273	1437
668	7284	1426
669	7294	1415
670	7305	1404
671	7315	1393
672	7326	1382
673	7336	1371
674	7347	1360
675	7357	1349
676	7368	1338
677	7379	1327
678	7389	1316
679	7400	1305
680	7410	1294
681	7421	1284
682	7431	1273
683	7442	1262
684	7452	1251
685	7463	1240
686	7474	1229
687	7484	1218
688	7494	1207
689	7505	1196
690	7516	1185
691	7526	1174
692	7537	1163
693	7547	1152
694	7558	1141
695	7569	1131
696	7580	1120
697	7590	1109
698	7601	1098
699	7611	1087
700	7622	1076
701	7632	1065
702	7642	1054
703	7653	1043
704	7663	1032
705	7674	1021
706	7685	1011
707	7696	1000
708	7707	989
709	7718	978
710	7728	967
711	7739	956
712	7750	945
713	7760	934
714	7770	923
715	7781	912
716	7791	901
717	7802	891
718	7813	880
719	7823	869
720	7834	858
721	7845	847
722	7855	836
723	7865	825
724	7876	814
725	7886	803
726	7897	792
727	7908	782
728	7919	771
729	7929	760
730	7940	749
731	7951	738
732	7962	727
733	7973	716
734	7983	706
735	7994	695
736	8005	684
737	8016	673
738	8026	662
739	8037	651
740	8048	640
741	8059	629
742	8071	619
743	8083	608
744	8094	597
745	8105	586
746	8116	575
747	8128	565
748	8138	554
749	8148	543
750	8158	532
751	8169	521
752	8180	510
753	8190	499
754	8201	488
755	8211	477
756	8221	467
757	8231	456
758	8242	445
759	8252	434
760	8262	423
761	8273	412
762	8283	401
763	8295	390
764	8305	380
765	8316	369
766	8326	358
767	8337	347
768	8348	336
769	8359	325
770	8370	314
771	8381	303
772	8391	293
773	8402	282
774	8412	271
775	8422	260
776	8432	249
777	8443	238
778	8453	227
779	8464	217
780	8474	206
781	8485	195
782	8496	184
783	8507	173
784	8517	162
785	8528	151
786	8538	141
787	8549	130
788	8559	119
789	8570	108
790	8580	97
791	8591	86
792	8601	75
793	8612	65
794	8622	54
795	8632	43
796	8643	32
797	8653	21
798	8664	10
799	8675	0
