iter	Logloss
0	0.6538993193
1	0.63235369
2	0.6187731101
3	0.6017058387
4	0.5915867324
5	0.5838955025
6	0.5779144516
7	0.5698440108
8	0.563565769
9	0.5588683984
10	0.5533117403
11	0.5463153724
12	0.54214654
13	0.5377496293
14	0.5337376514
15	0.5317349329
16	0.5287626822
17	0.5258161167
18	0.5224295943
19	0.5202393864
20	0.5182237286
21	0.5158984799
22	0.5128034935
23	0.5112125751
24	0.5090954219
25	0.5080201946
26	0.5059778635
27	0.5058590865
28	0.5048128649
29	0.50363458
30	0.5020643122
31	0.5016101832
32	0.5001448088
33	0.4988626274
34	0.4972797776
35	0.4961707548
36	0.4952493856
37	0.4935776277
38	0.4925134096
39	0.4915611214
40	0.4905237213
41	0.4898338692
42	0.4884889601
43	0.4879552849
44	0.4872967448
45	0.4861038084
46	0.4850410902
47	0.484410668
48	0.4835598474
49	0.4830088826
50	0.4821068663
51	0.4808242398
52	0.4802782208
53	0.4790046903
54	0.4775156583
55	0.4761913432
56	0.4756504001
57	0.4745041597
58	0.4733515031
59	0.4723444668
60	0.4717073867
61	0.4707234033
62	0.4699028944
63	0.4692574055
64	0.4687243597
65	0.468169148
66	0.4675768866
67	0.4668179911
68	0.4659976027
69	0.4653727795
70	0.4640205174
71	0.4635801744
72	0.4631533508
73	0.4623658488
74	0.4619112388
75	0.4612948418
76	0.4603909151
77	0.4595777799
78	0.4589209289
79	0.458555878
80	0.4581754093
81	0.4572435811
82	0.4562455252
83	0.4559221871
84	0.4554362318
85	0.455367611
86	0.4552579109
87	0.4546822041
88	0.454337907
89	0.4535468833
90	0.4528284243
91	0.4526338354
92	0.4519631445
93	0.4512812732
94	0.4508802594
95	0.4504959336
96	0.4496809777
97	0.4491579671
98	0.4483998878
99	0.4478951682
100	0.4472857624
101	0.4466921502
102	0.4463981101
103	0.4458289887
104	0.4452259106
105	0.4443573672
106	0.4439204389
107	0.4435981628
108	0.4429722436
109	0.4425936369
110	0.4420412201
111	0.441678369
112	0.4410624204
113	0.4404312374
114	0.439826607
115	0.4393388887
116	0.4388708165
117	0.4380909243
118	0.4376468695
119	0.4370831308
120	0.4362975116
121	0.4359213477
122	0.4356744167
123	0.4351636948
124	0.4343343871
