iter	Logloss
125	0.4339214469
126	0.4335719714
127	0.4330796343
128	0.4324632143
129	0.4320069085
130	0.431438184
131	0.4310826573
132	0.4305846804
133	0.4300135726
134	0.4294870311
135	0.4288464014
136	0.4284813902
137	0.4279783569
138	0.4274389371
139	0.4269101931
140	0.4263928008
141	0.4258567321
142	0.4253467037
143	0.4247521867
144	0.4241429755
145	0.4237286238
146	0.4234471075
147	0.4230513795
148	0.4227353285
149	0.4223985819
150	0.4221151263
151	0.4214338367
152	0.4210442686
153	0.4205656519
154	0.4202524524
155	0.4195181583
156	0.4190654089
157	0.4185276223
158	0.41827885
159	0.4178686738
160	0.4175545756
161	0.4169159055
162	0.4161070604
163	0.4156990282
164	0.4154431478
165	0.4150418041
166	0.4146497104
167	0.4140239882
168	0.4137410801
169	0.4132956868
170	0.4129620141
171	0.4125866314
172	0.4122184758
173	0.4118570678
174	0.4112019355
175	0.410770313
176	0.4102932104
177	0.4098864532
178	0.4096820191
179	0.4091152735
180	0.4088030593
181	0.4085630755
182	0.4080341249
183	0.4072246516
184	0.4069830673
185	0.4064113655
186	0.4059956473
187	0.4057915758
188	0.4055349454
189	0.4051844471
190	0.4047278058
191	0.4044668478
192	0.4042325122
193	0.4040127934
194	0.4037700621
195	0.4029826591
196	0.4025904316
197	0.4020722234
198	0.4018823378
199	0.4015100385
200	0.4011133014
201	0.4004344584
202	0.4000104754
203	0.399547989
204	0.3992589246
205	0.398734349
206	0.3981551916
207	0.3978677185
208	0.3976171957
209	0.3972744968
210	0.396801933
211	0.3963758353
212	0.3958660439
213	0.3954694986
214	0.3951226694
215	0.3948139913
216	0.3944050006
217	0.39419076
218	0.393813705
219	0.3934547356
220	0.392925593
221	0.3924038601
222	0.3919945894
223	0.3917233086
224	0.3913019441
225	0.3910611057
226	0.3907785588
227	0.3905998216
228	0.3904428547
229	0.3900538957
230	0.3898064771
231	0.3894889141
232	0.3891541789
233	0.3888153547
234	0.3882782011
235	0.3880366303
236	0.3877600525
237	0.3876401231
238	0.3873023047
239	0.3867427082
240	0.3864860261
241	0.3858171944
242	0.3854024886
243	0.3851384486
244	0.3849065195
245	0.3846313622
246	0.3843242956
247	0.3841344753
248	0.3837746912
249	0.3835164008
250	0.3831478469
251	0.3826874302
252	0.382008087
253	0.3817657114
254	0.3814090697
255	0.3812265177
256	0.3808843869
257	0.3804861016
258	0.3801565224
259	0.3799080228
260	0.3797587254
261	0.3794011624
262	0.3790301698
263	0.3787974923
264	0.3786924099
265	0.3783076799
266	0.3779905303
267	0.3776782712
268	0.3773975972
269	0.3770982915
270	0.3768205744
271	0.3765244983
272	0.3763561257
273	0.3761498391
274	0.3758447464
275	0.3753839435
276	0.3748733042
277	0.3744574761
278	0.3742731468
279	0.3740530385
280	0.373487463
281	0.3730242458
282	0.3727162664
283	0.372132263
284	0.3716663293
285	0.3712053594
286	0.3708558953
287	0.3706546623
288	0.3701687912
289	0.3696965925
290	0.3694720529
291	0.3690929826
292	0.3687580582
293	0.3684719795
294	0.3680773946
295	0.367678082
296	0.3674923141
297	0.3672272054
298	0.3671054374
299	0.3667169944
300	0.3664635498
301	0.3660786909
302	0.3658534128
303	0.3656803763
304	0.3652092032
305	0.3647608077
306	0.3644336575
307	0.3641731955
308	0.3639814581
309	0.3638106716
310	0.3634323866
311	0.3632234782
312	0.3629938594
313	0.3627465591
314	0.362511413
315	0.3623673238
316	0.3619403221
317	0.3616775711
318	0.3615125827
319	0.3611997383
320	0.3607531005
321	0.3604651486
322	0.3601071625
323	0.3598076824
324	0.3596516936
325	0.3592240778
326	0.3589863433
327	0.3586583299
328	0.3583672918
329	0.3581270829
330	0.3577300565
331	0.3574885724
332	0.3573120891
333	0.3568579649
334	0.3566267538
335	0.3564644452
336	0.3561062931
337	0.3557710334
338	0.3554782076
339	0.3552987346
340	0.3549494205
341	0.3547690007
342	0.354197493
343	0.3539842898
344	0.3536720243
345	0.3533953441
346	0.3532804504
347	0.3530246994
348	0.3527407748
349	0.3525949034
350	0.3524455996
351	0.3521178346
352	0.3519439187
353	0.3516648933
354	0.351572523
355	0.3514297597
356	0.3513012176
357	0.3511171863
358	0.3507963333
359	0.3505780933
360	0.3504776708
361	0.3503282612
362	0.3500507944
363	0.3499526628
364	0.3497761179
365	0.3495996008
366	0.349455735
367	0.349086802
368	0.3489081298
369	0.3487244673
370	0.348448784
371	0.3482036601
372	0.3477813898
373	0.3475258631
374	0.3470424287
375	0.3469828114
376	0.3468376647
377	0.3466511124
378	0.3464251275
379	0.3462610448
380	0.3460055149
381	0.3457826575
382	0.3455621498
383	0.3453639666
384	0.345082409
385	0.3449260348
386	0.344741074
387	0.3445144102
388	0.3441984007
389	0.3439541038
390	0.3435768861
391	0.3434444025
392	0.3431787715
393	0.3429835737
394	0.3425086967
395	0.3423634453
396	0.3421475063
397	0.3418082284
398	0.3416953425
399	0.3415187963
400	0.3413204339
401	0.3410859185
402	0.3408832166
403	0.3406196998
404	0.3404427688
405	0.3403423269
406	0.3401235401
407	0.3399588997
408	0.339837491
409	0.3396107742
410	0.3395330395
411	0.3392141381
412	0.3390461443
413	0.3387961358
414	0.3384417428
415	0.338128017
416	0.337984374
417	0.3376906704
418	0.3375586697
419	0.3373275873
420	0.3371457896
421	0.3368518706
422	0.3366742589
423	0.3359670226
424	0.3357525543
425	0.3356139973
426	0.3353613184
427	0.335200638
428	0.3348894514
429	0.3346481614
430	0.3343975126
431	0.3342114441
432	0.333874862
433	0.3336839159
434	0.33343199
435	0.3332500055
436	0.3330315846
437	0.3328147142
438	0.3322647878
439	0.332085041
440	0.3319257937
441	0.3317455805
442	0.3315783406
443	0.3314034349
444	0.3311956987
445	0.3309548616
446	0.3307568171
447	0.3305923779
448	0.3303482094
449	0.3302083794
450	0.330025787
451	0.3295984086
452	0.3294311894
453	0.3292051238
454	0.3290743887
455	0.3289472101
456	0.3287816861
457	0.3286420016
